,Year,YearBuilt,Distance,Lattitude,Longtitude,Propertycount,Landsize,BuildingArea,Rooms,Bathroom,Car,Type_h,Type_t,Type_u,LogPrice
0,2017,1905.0,5.0,-37.80946,145.04251,10331.0,372.0,126.0,3,1.0,2.0,1,0,0,14.594835434765272
1,2016,2002.0,2.0,-37.8046,144.984,4553.0,0.0,60.0,2,1.0,1.0,0,0,1,13.418013619505286
2,2017,1920.0,5.0,-37.79221,144.89076,7570.0,446.0,101.7,4,1.0,3.0,1,0,0,13.700099706452946
3,2018,1990.0,21.0,-37.74681,145.19746,2003.0,1567.0,215.0,4,3.0,2.0,1,0,0,14.02333740516659
4,2016,1930.0,11.0,-37.865,145.0506,8801.0,0.0,118.0,2,1.0,1.0,0,0,1,13.635187003832993
5,2017,1900.0,2.0,-37.8374,144.9495,5943.0,149.0,104.0,3,1.0,0.0,1,0,0,14.054527458434775
6,2017,1950.0,9.0,-37.79373,144.84678,3589.0,588.0,128.0,3,1.0,0.0,1,0,0,13.555443652545467
7,2017,2006.0,22.0,-38.02768,145.10187,2824.0,0.0,164.0,3,2.0,2.0,0,1,0,13.5985975564007
8,2018,1915.0,6.0,-37.82894,144.88265,1223.0,390.0,109.0,3,1.0,2.0,1,0,0,14.015999418713678
9,2017,1950.0,10.0,-37.78703,144.84569,3755.0,485.0,130.0,3,2.0,1.0,1,0,0,13.458835614025542
10,2016,1880.0,2.0,-37.8278,144.9885,1123.0,324.0,165.0,3,2.0,2.0,1,0,0,14.204168547756057
11,2017,1996.0,27.0,-37.76032,145.30299,3789.0,734.0,222.0,4,2.0,3.0,1,0,0,13.723375532019588
12,2017,1970.0,12.0,-37.74514,144.87313,5629.0,534.0,211.0,4,2.0,2.0,1,0,0,14.038654109278484
13,2017,2007.0,22.0,-37.99825,145.08696,5087.0,80.0,88.0,1,1.0,1.0,0,1,0,13.129835392243029
14,2016,1980.0,15.0,-37.7378,144.8264,1202.0,612.0,155.0,4,2.0,2.0,1,0,0,13.235692062711331
15,2017,1880.0,4.0,-37.78495,144.98088,6244.0,101.0,93.0,2,1.0,0.0,1,0,0,14.122995257712235
16,2018,1890.0,2.0,-37.83811,144.9632,5943.0,131.0,187.0,3,2.0,0.0,1,0,0,14.357834848789636
17,2017,1920.0,8.0,-37.7424,144.9576,11204.0,275.0,106.2,2,1.0,0.0,1,0,0,13.742939865129438
18,2016,1935.0,11.0,-37.721,144.9952,21650.0,630.0,190.0,4,2.0,3.0,1,0,0,13.845069360205818
19,2017,1960.0,10.0,-37.91414,145.00527,10579.0,709.0,36.0,3,2.0,2.0,0,1,0,14.4884550312067
20,2017,1950.0,7.0,-37.75937,145.01534,8870.0,470.0,151.0,3,1.0,2.0,1,0,0,14.055314550171591
21,2016,2003.0,6.0,-37.7766,144.9277,6567.0,200.0,144.0,3,2.0,2.0,0,1,0,13.815510557964274
22,2017,1985.0,16.0,-37.68467,145.14103,915.0,673.0,167.0,4,2.0,2.0,1,0,0,13.676248490630767
23,2016,1945.0,11.0,-37.8653,145.0897,3052.0,710.0,139.0,3,2.0,2.0,1,0,0,14.22097566607244
24,2016,1920.0,6.0,-37.7574,144.9854,8870.0,327.0,96.0,3,1.0,1.0,1,0,0,13.81049801614073
25,2016,1975.0,10.0,-37.7623,145.0569,1651.0,0.0,148.0,3,2.0,2.0,0,0,1,13.989463865087712
26,2016,1920.0,8.0,-37.8424,144.8754,5498.0,344.0,130.0,3,1.0,0.0,1,0,0,13.700660716285332
27,2018,2003.0,13.0,-37.70864,144.89595,1071.0,217.0,134.0,3,2.0,2.0,1,0,0,13.407542319637992
